Name             Called     Load       Ratio
Login            1          0          0.00
Logout           0          0          0.00
Relay            0          0          0.00
Notice           3          0          0.00
Shutdown         0          0          0.00
Guild            0          0          0.00
Disconnect       0          0          0.00
Shout            0          0          0.00
Setup            11         1          0.09
MessengerAdd     0          0          0.00
MessengerRemove  0          0          0.00
FindPosition     0          0          0.00
WarpCharacter    0          0          0.00
MessengerMobile  0          0          0.00
GuildWarMapIndex 0          0          0.00
Transfer         0          0          0.00
XmasWarpSanta    0          0          0.00
XmasWarpSantaReply 0          0          0.00
ReloadCRCList    0          0          0.00
LoginPing        0          0          0.00
CheckClientVersion 0          0          0.00
BlockChat        0          0          0.00
Siege            0          0          0.00
PCBangUpdate     0          0          0.00
CheckAwakeness   0          0          0.00
BigNotice        0          0          0.00
Switchbot        0          0          0.00
GayaSystem       0          0          0.00
EventManager     0          0          0.00
TechnicalMaintenance 7          0          0.00
AdminManager     0          0          0.00
ResetSpots       0          0          0.00
UpdateRights     0          0          0.00
UpdateGuildPlayerName 0          0          0.00
PlayerPacket     0          0          0.00
TeamlerStatus    0          0          0.00
PlayerLocationSearch 0          0          0.00
OfflineShop      0          0          0.00
ExecReloadCommand 0          0          0.00
CreateDungeonInstance 0          0          0.00
ReturnDungeon    0          0          0.00
CanReturnToDungeon 0          0          0.00
ReloadTombola    0          0          0.00
DisconnectPlayer 0          0          0.00
ReloadTeleport   0          0          0.00
ReloadAttendanceManager 0          0          0.00
ReloadBeginnerManager 0          0          0.00
ReloadBiologManager 0          0          0.00
ReloadMarbleManager 0          0          0.00
PrivateShopItemSearchResult 0          0          0.00
PrivateShopItemSearch 0          0          0.00
PrivateShopItemSearchUpdate 0          0          0.00
