Name             Called     Load       Ratio
Login            0          0          0.00
Attack           0          0          0.00
Chat             0          0          0.00
Create           0          0          0.00
Delete           0          0          0.00
Select           0          0          0.00
Move             0          0          0.00
SyncPosition     0          0          0.00
EnterGame        0          0          0.00
ItemUse          0          0          0.00
ItemMultiUse     0          0          0.00
ItemDrop         0          0          0.00
ItemMove         0          0          0.00
ItemPickup       0          0          0.00
QuickslotAdd     0          0          0.00
QuickslotDel     0          0          0.00
QuickslotSwap    0          0          0.00
Whisper          0          0          0.00
ItemDrop2        0          0          0.00
OnClick          0          0          0.00
Exchange         0          0          0.00
Position         0          0          0.00
ScriptAnswer     0          0          0.00
QuestInputString 0          0          0.00
QuestConfirm     0          0          0.00
Shop             0          0          0.00
FlyTarget        0          0          0.00
UseSkill         0          0          0.00
AddFlyTarget     0          0          0.00
Shoot            0          0          0.00
MyShop           0          0          0.00
UseItemToItem    0          0          0.00
Target           0          0          0.00
Warp             0          0          0.00
ScriptButton     0          0          0.00
Messenger        0          0          0.00
MallCheckout     0          0          0.00
SafeboxCheckin   0          0          0.00
SafeboxCheckout  0          0          0.00
PartyInvite      0          0          0.00
PartyInviteAnswer 0          0          0.00
PartyRemove      0          0          0.00
PartySetState    0          0          0.00
PartyUseSkill    0          0          0.00
SafeboxItemMove  0          0          0.00
PartyParam       0          0          0.00
Guild            0          0          0.00
AnswerMakeGuild  0          0          0.00
Fishing          0          0          0.00
ItemGive         0          0          0.00
Empire           0          0          0.00
Refine           0          0          0.00
MarkLogin        0          0          0.00
MarkCrcList      0          0          0.00
MarkUpload       0          0          0.00
MarkIdxList      0          0          0.00
Hack             0          0          0.00
ChangeName       0          0          0.00
Login2           0          0          0.00
Login3           0          0          0.00
SymbolUpload     0          0          0.00
SymbolCRC        0          0          0.00
ScriptSelectItem 0          0          0.00
Login5           0          0          0.00
PasspodAnswer    0          0          0.00
HackShieldResponse 0          0          0.00
XTrapResponse    0          0          0.00
DragonSoulRefine 0          0          0.00
ServerStateCheck 0          0          0.00
Text             0          0          0.00
ItemDestroy      0          0          0.00
RequestTreasureBoxLoot 0          0          0.00
TargetLoad       0          0          0.00
RequestDeleteSocket 0          0          0.00
Switchbot        0          0          0.00
ItemsPickup      0          0          0.00
AdminManager     0          0          0.00
MarbleManager    0          0          0.00
CubeClose        0          0          0.00
CubeMake         0          0          0.00
ElementalRefine  0          0          0.00
LuckyBox         0          0          0.00
OfflineShop      0          0          0.00
ShopSearchByName 0          0          0.00
ShopSearchByOption 0          0          0.00
ShopSearchBuy    0          0          0.00
ShopSearchOwnerMessage 0          0          0.00
ShopSearchRequestSoldInfo 0          0          0.00
WhisperRequestLanguage 0          0          0.00
PrivateShop      0          0          0.00
RecvWikiPacket   0          0          0.00
KeyAgreement     0          0          0.00
TimeSync         0          0          0.00
Pong             0          0          0.00
Handshake        0          0          0.00
